"","s","e","temp"
"1",0,3600,0.220425215313768
"2",3600,7200,0.210182672869626
"3",7200,10800,0.198465733388697
"4",10800,14400,0.185848886655297
"5",14400,18000,0.172973892909913
"6",18000,21600,0.160506274975123
"7",21600,25200,0.149089800803146
"8",25200,28800,0.139302072430642
"9",28800,32400,0.131614287418993
"10",32400,36000,0.126357977117059
"11",36000,39600,0.123701068831396
"12",39600,43200,0.123634996176012
"13",43200,46800,0.125973835132422
"14",46800,50400,0.130365623194914
"15",50400,54000,0.136315181395894
"16",54000,57600,0.143216961627895
"17",57600,61200,0.150395739811159
"18",61200,64800,0.157152418238959
"19",64800,68400,0.162811827405249
"20",68400,72000,0.166769255914856
"21",72000,75600,0.168532499449058
"22",75600,79200,0.167756503609336
"23",79200,82800,0.164268162885524
"24",82800,86400,0.158079496922676
"25",86400,90000,0.149388211553447
"26",90000,93600,0.138565512483762
"27",93600,97200,0.126131915328526
"28",97200,100800,0.112722626674459
"29",100800,104400,0.0990447994358066
"30",104400,108000,0.0858295410595068
"31",108000,111600,0.0737819344240773
"32",111600,115200,0.0635324909476198
"33",115200,118800,0.0555933809340355
"34",118800,122400,0.0503224810567222
"35",122400,126000,0.0478977625282724
"36",126000,129600,0.048303850039275
"37",129600,133200,0.0513317575076471
"38",133200,136800,0.0565919078983008
"39",136800,140400,0.0635396322125416
"40",140400,144000,0.0715114798860365
"41",144000,147600,0.0797699189730222
"42",147600,151200,0.0875534122072173
"43",151200,154800,0.0941284661124997
"44",154800,158400,0.0988400928445511
"45",158400,162000,0.101157210687716
"46",162000,165600,0.100709834712935
"47",165600,169200,0.0973154531336204
"48",169200,172800,0.0909927113191914
"49",172800,176400,0.0819613854119899
"50",176400,180000,0.0706285627278303
"51",180000,183600,0.0575618927522148
"52",183600,187200,0.0434516655610996
"53",187200,190800,0.0290642521783821
"54",190800,194400,0.0151900495872127
"55",194400,198000,0.00258946902651995
"56",198000,201600,-0.00805933862620104
"57",201600,205200,-0.0162074242288207
"58",205200,208800,-0.0214733975514565
"59",208800,212400,-0.0236705197646761
"60",212400,216000,-0.0228206085454503
"61",216000,219600,-0.0191537272299239
"62",219600,223200,-0.0130935992188985
"63",223200,226800,-0.00522966806283211
"64",226800,230400,0.00372235489958942
"65",230400,234000,0.0129688134227934
"66",234000,237600,0.0216920347860412
"67",237600,241200,0.0291061965275743
"68",241200,244800,0.0345113115289432
"69",244800,248400,0.0373416201857529
"70",248400,252000,0.0372050423944603
"71",252000,255600,0.0339109377266322
"72",255600,259200,0.0274842097510898
"73",259200,262800,0.0181647169131158
"74",262800,266400,0.00639195478618675
"75",266400,270000,-0.00722401556265784
"76",270000,273600,-0.0219434702039531
"77",273600,277200,-0.0369470121159626
"78",277200,280800,-0.0513912674359742
"79",280800,284400,-0.0644664995255423
"80",284400,288000,-0.0754522020865846
"81",288000,291600,-0.0837668519413903
"82",291600,295200,-0.0890083840392214
"83",295200,298800,-0.0909825708208932
"84",298800,302400,-0.0897173038660369
"85",302400,306000,-0.0854617327099346
"86",306000,309600,-0.0786702488370417
"87",309600,313200,-0.0699723416024493
"88",313200,316800,-0.0601303259506769
"89",316800,320400,-0.0499877822302099
"90",320400,324000,-0.0404121978770871
"91",324000,327600,-0.0322357138478038
"92",327600,331200,-0.0261980260257097
"93",331200,334800,-0.0228953621200503
"94",334800,338400,-0.0227390555055475
"95",338400,342000,-0.0259265952091983
"96",342000,345600,-0.0324271888420467
"97",345600,349200,-0.0419828896134022
"98",349200,352800,-0.0541252766478683
"99",352800,356400,-0.0682066121533202
"100",356400,360000,-0.0834434026306867
"101",360000,363600,-0.098969432884922
"102",363600,367200,-0.113894680528819
"103",367200,370800,-0.127366101101497
"104",370800,374400,-0.138626129473682
"105",374400,378000,-0.147064882887165
"106",378000,381600,-0.152262466332496
"107",381600,385200,-0.154018444626906
"108",385200,388800,-0.152366412987964
"109",388800,392400,-0.147572610439288
"110",392400,396000,-0.140118609179538
"111",396000,399600,-0.130669203754849
"112",399600,403200,-0.120027641737425
"113",403200,406800,-0.109081212588034
"114",406800,410400,-0.0987408829576623
"115",410400,414000,-0.0898790880816715
"116",414000,417600,-0.0832699303325261
"117",417600,421200,-0.0795358867118759
"118",421200,424800,-0.0791046962571556
"119",424800,428400,-0.0821794145214119
"120",428400,432000,-0.0887237314197899
"121",432000,435600,-0.0984636111337076
"122",435600,439200,-0.110905199012566
"123",439200,442800,-0.12536782656024
"124",442800,446400,-0.141029907961818
"125",446400,450000,-0.156984631546719
"126",450000,453600,-0.172301668581143
"127",453600,457200,-0.186090697191861
"128",457200,460800,-0.197562400989377
"129",460800,464400,-0.206082760493541
"130",464400,468000,-0.211216900881619
"131",468000,471600,-0.212759462292864
"132",471600,475200,-0.210749371628071
"133",475200,478800,-0.205467955624505
"134",478800,482400,-0.197420471771099
"135",482400,486000,-0.187302268729807
"136",486000,489600,-0.175951843593249
"137",489600,493200,-0.164293966991895
"138",493200,496800,-0.153276736407504
"139",496800,500400,-0.143806845198251
"140",500400,504000,-0.1366874897545
"141",504000,507600,-0.132563169779851
"142",507600,511200,-0.131875177504589
"143",511200,514800,-0.13483085128566
"144",514800,518400,-0.141388736101574
"145",518400,522000,-0.151260711191012
"146",522000,525600,-0.16393098719155
"147",525600,529200,-0.178690720681992
"148",529200,532800,-0.194685922072975
"149",532800,536400,-0.210975416945875
"150",536400,540000,-0.22659492434183
"151",540000,543600,-0.240622886431478
"152",543600,547200,-0.252243552544449
"153",547200,550800,-0.260802996489627
"154",550800,554400,-0.265854218215257
"155",554400,558000,-0.267188217587539
"156",558000,561600,-0.264848879655755
"157",561600,565200,-0.259130612625271
"158",565200,568800,-0.250558856833119
"159",568800,572400,-0.239854754927977
"160",572400,576000,-0.227886359970244
"161",576000,579600,-0.215609684711058
"162",579600,583200,-0.20400359807621
"163",583200,586800,-0.194003005239223
